,역명,노선명,sub노선명,순번,lat,lng,이용자변화율
144,방배,2호선,2호선,225,37.481426,126.997596,-0.3292940403963043
145,신답,2호선,2호선A,213,37.57004,127.046481,-0.20214916132409277
146,신설동,2호선,2호선A,215,37.575297,127.025087,-0.28176501265873555
147,성수,2호선,2호선A,211,37.544581,127.055961,-0.07510891268597475
148,용두(동대문구청),2호선,2호선A,214,37.574028,127.038091,-0.21420673644051225
149,용답,2호선,2호선A,212,37.561904,127.050899,-0.21766827764936614
150,도림천,2호선,2호선B,235,37.514287,126.882768,-0.10384878753655369
151,신도림,2호선,2호선B,234,37.508725,126.891295,-0.30903803202436353
152,신정네거리,2호선,2호선B,237,37.520074,126.852912,-0.18692930952495268
153,까치산,2호선,2호선B,238,37.531768,126.846683,-0.21180943458478874
154,양천구청,2호선,2호선B,236,37.512398,126.865819,-0.24431263138617298
155,금호,3호선,3호선,334,37.548034,127.015872,-0.23608909712317594
156,을지로3가,3호선,3호선,330,37.566295,126.99191,-0.28292645554214
157,약수,3호선,3호선,333,37.55434,127.010655,-0.2628555766250458
158,마두,3호선,3호선,312,37.652206,126.77762,-0.3009072279371282
159,정발산,3호선,3호선,311,37.659477,126.773359,-0.3324545157032759
160,지축,3호선,3호선,319,37.648048,126.913951,1.1912209277894368
161,원흥,3호선,3호선,317,37.650658,126.872642,-0.13148943282776782
162,삼송,3호선,3호선,318,37.653083,126.895558,-0.1460114016497448
163,원당,3호선,3호선,316,37.653324,126.843041,-0.24786992558593335
164,경복궁(정부서울청사),3호선,3호선,327,37.575762,126.97353,-0.42154614957208436
165,학여울,3호선,3호선,346,37.496663,127.070594,-0.42817903083492437
166,동대입구,3호선,3호선,332,37.559052,127.005602,-0.47926023097214
167,무악재,3호선,3호선,325,37.582299,126.950291,-0.22368846841854328
168,홍제,3호선,3호선,324,37.589066,126.943736,-0.2728626645560246
169,교대(법원.검찰청),3호선,3호선,340,37.493415,127.01408,-0.27427714514048396
170,독립문,3호선,3호선,326,37.574571,126.957748,-0.3208766055171386
171,종로3가,3호선,3호선,329,37.571607,126.991806,-0.3702077446113671
172,도곡,3호선,3호선,344,37.490858,127.055381,-0.25951219865471575
173,옥수,3호선,3호선,335,37.540685,127.017965,-0.2564027174052831
174,대화,3호선,3호선,309,37.676087,126.747569,-0.3261952859454543
175,오금,3호선,3호선,352,37.502162,127.128111,-0.24567435693792472
176,충무로,3호선,3호선,331,37.561243,126.99428,-0.3607495415194394
177,압구정,3호선,3호선,336,37.527072,127.028461,-0.24854987073137513
178,대치,3호선,3호선,345,37.494612,127.063642,-0.3029924572750603
179,고속터미널,3호선,3호선,339,37.50481,127.004943,-0.40005113614083465
180,백석,3호선,3호선,313,37.643114,126.78787,-0.29945658145618126
181,일원,3호선,3호선,348,37.483681,127.08439,-0.2388390430103522
182,대곡,3호선,3호선,314,37.631626,126.811024,-0.16658127624165853
183,화정,3호선,3호선,315,37.634592,126.83265,-0.3020059890338589
184,안국,3호선,3호선,328,37.576477,126.985443,-0.405638494980357
185,녹번,3호선,3호선,323,37.600927,126.935756,-0.14716720342978984
186,불광,3호선,3호선,322,37.610469,126.929887,-0.2917717683454014
187,가락시장,3호선,3호선,350,37.492522,127.118234,-0.2404176256996079
188,남부터미널(예술의전당),3호선,3호선,341,37.485013,127.016189,-0.3276975405396034
189,잠원,3호선,3호선,338,37.512759,127.01122,-0.3547966908202659
190,대청,3호선,3호선,347,37.493514,127.079532,-0.24393035474202462
191,구파발,3호선,3호선,320,37.636763,126.918821,-0.22668044271665688
192,신사,3호선,3호선,337,37.516334,127.020114,-0.2574212167471085
193,수서,3호선,3호선,349,37.487371,127.10188,-0.2668711656441718
194,매봉,3호선,3호선,343,37.486947,127.046769,-0.1783116426249728
195,양재(서초구청),3호선,3호선,342,37.484147,127.034631,-0.2635173552172765
196,주엽,3호선,3호선,310,37.670072,126.761334,-0.30076679643768
197,경찰병원,3호선,3호선,351,37.495918,127.12454,-0.23417702584379785
198,연신내,3호선,3호선,321,37.619001,126.921008,-0.2550966843417978
199,혜화,4호선,4호선,420,37.582336,127.001844,-0.4029113490276517
200,평촌,4호선,4호선,441,37.394287,126.963883,-0.21180366928447547
201,한대앞,4호선,4호선,449,37.309689,126.85344,-0.25079074664375745
202,명동,4호선,4호선,424,37.560989,126.986325,-0.6233440108619361
203,당고개,4호선,4호선,409,37.670272,127.079066,-0.20071114525314715
204,상록수,4호선,4호선,448,37.302795,126.866489,-0.33370421816861984
205,과천,4호선,4호선,438,37.433021,126.996568,-0.1916196595272921
206,경마공원,4호선,4호선,436,37.443885,127.007888,-0.8186534329925143
207,노원,4호선,4호선,411,37.655128,127.061368,-0.26453811515825487
208,대공원,4호선,4호선,437,37.435675,127.006523,-0.4870331622724533
209,수유(강북구청),4호선,4호선,414,37.638052,127.025732,-0.2589388515842376
210,사당,4호선,4호선,433,37.47653,126.981685,-0.30683189692265933
211,총신대입구(이수),4호선,4호선,432,37.486263,126.981989,-0.27912336503470947
212,동작(현충원),4호선,4호선,431,37.502971,126.979306,-0.25594372411134436
213,산본,4호선,4호선,444,37.358101,126.933274,-0.2838059800683205
214,길음,4호선,4호선,417,37.603407,127.025053,-0.30833143501227556
215,동대문,4호선,4호선,421,37.57142,127.009745,-0.3471682452334497
216,쌍문,4호선,4호선,413,37.648627,127.034709,-0.25225792412842396
217,안산,4호선,4호선,453,37.327082,126.788532,-0.33107391936336017
218,충무로,4호선,4호선,423,37.561243,126.99428,-0.3607495415194394
219,정왕,4호선,4호선,455,37.351735,126.742989,-0.26379375982188447
220,반월,4호선,4호선,447,37.312212,126.903524,-0.2552112461615359
221,미아(서울사이버대학),4호선,4호선,415,37.62667,127.025983,-0.2711435834229251
222,창동,4호선,4호선,412,37.653166,127.047731,-0.2621674308930526
223,남태령,4호선,4호선,434,37.463873,126.989134,-0.5890302623252384
224,범계,4호선,4호선,442,37.389793,126.950806,-0.3043421849602971
225,인덕원,4호선,4호선,440,37.401553,126.976715,-0.27791762073349746
226,정부과천청사,4호선,4호선,439,37.426513,126.98978,-0.3824308016789508
227,회현(남대문시장),4호선,4호선,425,37.558514,126.978246,-0.3991191375913622
228,서울역,4호선,4호선,426,37.554648,126.972559,-0.40800617254347327
229,대야미,4호선,4호선,446,37.328467,126.917332,-0.12328845281977152
230,중앙,4호선,4호선,450,37.315941,126.838573,-0.2384578072537753
231,오이도,4호선,4호선,456,37.362357,126.738714,-0.302886903773564
232,고잔,4호선,4호선,451,37.316777,126.823249,-0.239326261645186
233,미아사거리,4호선,4호선,416,37.613292,127.030053,-0.23182428865933247
234,수리산,4호선,4호선,445,37.349801,126.925365,-0.23988101143148366
235,삼각지,4호선,4호선,428,37.534777,126.97311,-0.30545029811623137
236,금정,4호선,4호선,443,37.372221,126.943429,-0.22509142246005687
237,숙대입구(갈월),4호선,4호선,427,37.54456,126.972106,-0.37140489776357666
238,초지,4호선,4호선,452,37.320646,126.805913,-0.14953541934896042
239,한성대입구(삼선교),4호선,4호선,419,37.588458,127.006221,-0.3316534580156858
240,신용산,4호선,4호선,429,37.52917,126.967894,-0.2556370198770679
241,이촌(국립중앙박물관),4호선,4호선,430,37.522272,126.974345,-0.36869590235879535
242,동대문역사문화공원(DDP),4호선,4호선,422,37.565138,127.007896,-0.45489424729369876
243,신길온천,4호선,4호선,454,37.338212,126.765844,-0.22561068896935077
244,성신여대입구(돈암),4호선,4호선,418,37.592624,127.016403,-0.32889862470555553
245,선바위,4호선,4호선,435,37.451673,127.002303,-0.2897617706837782
246,상계,4호선,4호선,410,37.660878,127.073572,-0.24761212674114874
247,충정로(경기대입구),5호선,5호선,531,37.559973,126.963672,-0.2547539756664371
248,천호(풍납토성),5호선,5호선,547,37.538397,127.123572,-0.27958139670701354
249,김포공항,5호선,5호선,512,37.562434,126.801058,-0.2502203863166078
250,영등포구청,5호선,5호선,523,37.52497,126.895951,-0.1709211691091882
251,장한평,5호선,5호선,543,37.56144,127.064623,-0.21379771560999838
252,서대문,5호선,5호선,532,37.565773,126.966641,-0.23217135249500953
253,신길,5호선,5호선,525,37.517122,126.917169,-0.19813374820731655
254,광화문(세종문화회관),5호선,5호선,533,37.571026,126.976669,-0.3480822805306695
255,을지로4가,5호선,5호선,535,37.566941,126.998079,-0.18333632212740103
256,왕십리(성동구청),5호선,5호선,540,37.561533,127.037732,-0.3262649698658038
257,방화,5호선,5호선,510,37.577446,126.812741,-0.2560476866376503
258,종로3가,5호선,5호선,534,37.571607,126.991806,-0.3702077446113671
259,우장산,5호선,5호선,516,37.548768,126.836318,-0.2770379388885942
260,마곡,5호선,5호선,514,37.560183,126.825448,0.03204729764488734
261,목동,5호선,5호선,520,37.526065,126.864931,-0.25867548309682564
262,길동,5호선,5호선,549,37.537801,127.140004,-0.17097618234944656
263,아차산(어린이대공원후문),5호선,5호선,545,37.551691,127.089761,-0.20719929202975385
264,개화산,5호선,5호선,511,37.572399,126.806171,-0.2672511347827967
265,마포,5호선,5호선,528,37.539574,126.945932,-0.22075935062786944
266,군자(능동),5호선,5호선,544,37.557121,127.079542,-0.19798557327834831
267,오목교(목동운동장앞),5호선,5호선,521,37.524496,126.875181,-0.2588325078416378
268,신정(은행정),5호선,5호선,519,37.524997,126.856191,-0.1970392844345611
269,상일동,5호선,5호선,553,37.556712,127.166417,0.005617114347604035
270,강동,5호선,5호선,548,37.535804,127.132481,-0.22425780281891472
271,송정,5호선,5호선,513,37.561184,126.811973,-0.3789224559185531
272,청구,5호선,5호선,537,37.560245,127.013828,-0.21055267407123834
273,답십리,5호선,5호선,542,37.566747,127.052704,-0.2169651729053108
274,마장,5호선,5호선,541,37.5661,127.042973,-0.28207126018337636
275,행당,5호선,5호선,539,37.557322,127.029476,-0.23254095615462633
276,양평(서울),5호선,5호선,522,37.525338,126.886194,-0.12671630271894097
